[2016-11-02 18:57:15] ShadowsocksR started on port 1080
[2016-11-02 18:59:05] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:09] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:09] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:12] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:14] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:16] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:18] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:20] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:26] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:26] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:28] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:30] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:31] System.Reflection.TargetInvocationException: 操作过程中出现异常，结果无效。有关异常的详细信息，请查看 InnerException。 ---> System.Net.WebException: 基础连接已经关闭: 发送时发生错误。 ---> System.IO.IOException: 无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 ---> System.Net.Sockets.SocketException: 远程主机强迫关闭了一个现有的连接。
   在 System.Net.Sockets.Socket.EndReceive(IAsyncResult asyncResult)
   在 System.Net.Sockets.NetworkStream.EndRead(IAsyncResult asyncResult)
   --- 内部异常堆栈跟踪的结尾 ---
   在 System.Net.TlsStream.EndWrite(IAsyncResult asyncResult)
   在 System.Net.PooledStream.EndWrite(IAsyncResult asyncResult)
   在 System.Net.ConnectStream.WriteHeadersCallback(IAsyncResult ar)
   --- 内部异常堆栈跟踪的结尾 ---
   在 System.Net.HttpWebRequest.EndGetResponse(IAsyncResult asyncResult)
   在 System.Net.WebClient.GetWebResponse(WebRequest request, IAsyncResult result)
   在 System.Net.WebClient.DownloadBitsResponseCallback(IAsyncResult result)
   --- 内部异常堆栈跟踪的结尾 ---
   在 System.ComponentModel.AsyncCompletedEventArgs.RaiseExceptionIfNecessary()
   在 System.Net.DownloadStringCompletedEventArgs.get_Result()
   在 Shadowsocks.Controller.GFWListUpdater.http_DownloadPACCompleted(Object sender, DownloadStringCompletedEventArgs e)
[2016-11-02 18:59:31] Void LogUsefulException(System.Exception)
Void controller_UpdatePACFromGFWListError(System.Object, System.IO.ErrorEventArgs)
Void pacServer_PACUpdateError(System.Object, System.IO.ErrorEventArgs)
Void http_DownloadPACCompleted(System.Object, System.Net.DownloadStringCompletedEventArgs)
Void OnDownloadStringCompleted(System.Net.DownloadStringCompletedEventArgs)
Void DownloadStringOperationCompleted(System.Object)
System.Object _InvokeMethodFast(System.Object, System.Object[], System.SignatureStruct ByRef, System.Reflection.MethodAttributes, System.RuntimeTypeHandle)
System.Object InvokeMethodFast(System.Object, System.Object[], System.Signature, System.Reflection.MethodAttributes, System.RuntimeTypeHandle)
System.Object Invoke(System.Object, System.Reflection.BindingFlags, System.Reflection.Binder, System.Object[], System.Globalization.CultureInfo, Boolean)
System.Object DynamicInvokeImpl(System.Object[])
Void InvokeMarshaledCallbackDo(ThreadMethodEntry)
Void InvokeMarshaledCallbackHelper(System.Object)
Void runTryCode(System.Object)
Void ExecuteCodeWithGuaranteedCleanup(TryCode, CleanupCode, System.Object)
Void RunInternal(System.Threading.ExecutionContext, System.Threading.ContextCallback, System.Object)
Void Run(System.Threading.ExecutionContext, System.Threading.ContextCallback, System.Object)
Void InvokeMarshaledCallback(ThreadMethodEntry)
Void InvokeMarshaledCallbacks()
Void WndProc(System.Windows.Forms.Message ByRef)
Void OnMessage(System.Windows.Forms.Message ByRef)
Void WndProc(System.Windows.Forms.Message ByRef)
IntPtr Callback(IntPtr, Int32, IntPtr, IntPtr)
IntPtr DispatchMessageW(MSG ByRef)
Boolean System.Windows.Forms.UnsafeNativeMethods.IMsoComponentManager.FPushMessageLoop(Int32, Int32, Int32)
Void RunMessageLoopInner(Int32, System.Windows.Forms.ApplicationContext)
Void RunMessageLoop(Int32, System.Windows.Forms.ApplicationContext)
Void Run()
Void Main(System.String[])

[2016-11-02 18:59:33] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:43] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:44] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:46] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:48] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:50] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:52] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:54] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:54] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:58] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:01] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:03] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:05] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:09] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:12] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:14] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:18] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:21] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:23] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:25] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:27] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:31] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:34] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:39] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:43] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:46] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:48] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 19:00:48] System.Reflection.TargetInvocationException: 操作过程中出现异常，结果无效。有关异常的详细信息，请查看 InnerException。 ---> System.Net.WebException: 基础连接已经关闭: 发送时发生错误。 ---> System.IO.IOException: 无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 ---> System.Net.Sockets.SocketException: 远程主机强迫关闭了一个现有的连接。
   在 System.Net.Sockets.Socket.EndReceive(IAsyncResult asyncResult)
   在 System.Net.Sockets.NetworkStream.EndRead(IAsyncResult asyncResult)
   --- 内部异常堆栈跟踪的结尾 ---
   在 System.Net.TlsStream.EndWrite(IAsyncResult asyncResult)
   在 System.Net.PooledStream.EndWrite(IAsyncResult asyncResult)
   在 System.Net.ConnectStream.WriteHeadersCallback(IAsyncResult ar)
   --- 内部异常堆栈跟踪的结尾 ---
   在 System.Net.HttpWebRequest.EndGetResponse(IAsyncResult asyncResult)
   在 System.Net.WebClient.GetWebResponse(WebRequest request, IAsyncResult result)
   在 System.Net.WebClient.DownloadBitsResponseCallback(IAsyncResult result)
   --- 内部异常堆栈跟踪的结尾 ---
   在 System.ComponentModel.AsyncCompletedEventArgs.RaiseExceptionIfNecessary()
   在 System.Net.DownloadStringCompletedEventArgs.get_Result()
   在 Shadowsocks.Controller.GFWListUpdater.http_DownloadPACCompleted(Object sender, DownloadStringCompletedEventArgs e)
[2016-11-02 19:00:48] Void LogUsefulException(System.Exception)
Void controller_UpdatePACFromGFWListError(System.Object, System.IO.ErrorEventArgs)
Void pacServer_PACUpdateError(System.Object, System.IO.ErrorEventArgs)
Void http_DownloadPACCompleted(System.Object, System.Net.DownloadStringCompletedEventArgs)
Void OnDownloadStringCompleted(System.Net.DownloadStringCompletedEventArgs)
Void DownloadStringOperationCompleted(System.Object)
